ServiceDisciplineCode,RoleOnAProjectCode,LastUpdateTimestamp,LastUpdateUserName
02,DESIGN_SUPPORTER,"2023-03-15 16:22:44",immarais@yahoo.com
03-02,LEAD_SURVEYOR,"2023-03-15 16:22:53",immarais@yahoo.com
06-03,LEAD_DESIGNER,"2023-03-15 16:23:14",immarais@yahoo.com
06-03,DESIGN_SUPPORTER,"2023-03-15 16:23:20",immarais@yahoo.com
06-04-05,SPECIALIST_DESIGNER,"2023-03-15 16:23:37",immarais@yahoo.com
06-04-05,DESIGN_SUPPORTER,"2023-03-15 16:23:44",immarais@yahoo.com
06-05-02,PROJECT_ENGINEER,"2023-03-15 16:24:07",immarais@yahoo.com
06-05-02,SPECIALIST_DESIGNER,"2023-03-15 16:24:13",immarais@yahoo.com
06-05-02,DESIGN_SUPPORTER,"2023-03-15 16:24:18",immarais@yahoo.com
06-05-03,SPECIALIST_DESIGNER,"2023-03-15 16:24:45",immarais@yahoo.com
02,PROJECT_ENGINEER,"2023-03-15 16:24:59",immarais@yahoo.com
03-03,LEAD_SURVEYOR,"2023-03-15 16:25:12",immarais@yahoo.com
03-02,SURVEY_ASSIST,"2023-03-16 16:47:08",immarais@yahoo.com
06-02,PROJECT_ENGINEER,"2023-03-16 16:57:15",immarais@yahoo.com
06-02,LEAD_DESIGNER,"2023-03-16 16:57:20",immarais@yahoo.com
06-02,DESIGN_SUPPORTER,"2023-03-16 16:57:27",immarais@yahoo.com
